Accession;Protein Name;Molecular Weight;Protein Grouping Ambiguity;Flow-through Proteins;Original Proteins;Bound Proteins;Commonly identifiable proteins in normal CSF
P20742;Pregnancy zone protein OS=Homo sapiens GN=PZP PE=1 SV=4;164 kDa;TRUE;17;14;11;Yes
P20774;Mimecan OS=Homo sapiens GN=OGN PE=1 SV=1;34 kDa;;19;21;9;Yes
P20810;Calpastatin OS=Homo sapiens GN=CAST PE=1 SV=4;77 kDa;;3;0;;
P20827;Ephrin-A1 OS=Homo sapiens GN=EFNA1 PE=1 SV=2;24 kDa;;5;4;;Yes
P20848;Putative alpha-1-antitrypsin-related protein OS=Homo sapiens GN=SERPINA2 PE=5 SV=1;48 kDa;TRUE;;1;2;
P20851;C4b-binding protein beta chain OS=Homo sapiens GN=C4BPB PE=1 SV=1;28 kDa;;4;3;3;
P20908;Collagen alpha-1(V) chain OS=Homo sapiens GN=COL5A1 PE=1 SV=3;184 kDa;TRUE;8;3;;
P20916;Myelin-associated glycoprotein OS=Homo sapiens GN=MAG PE=1 SV=1;69 kDa;;11;6;;Yes
P20933;N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase OS=Homo sapiens GN=AGA PE=1 SV=2;37 kDa;;8;3;1;Yes
P21246;Pleiotrophin OS=Homo sapiens GN=PTN PE=1 SV=1;19 kDa;TRUE;1;6;3;
P21266;Glutathione S-transferase Mu 3 OS=Homo sapiens GN=GSTM3 PE=1 SV=3;27 kDa;TRUE;7;2;3;
P21291;Cysteine and glycine-rich protein 1 OS=Homo sapiens GN=CSRP1 PE=1 SV=3;21 kDa;TRUE;3;2;;
P21333;Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4;281 kDa;TRUE;58;25;7;Yes
P21399;Cytoplasmic aconitate hydratase OS=Homo sapiens GN=ACO1 PE=1 SV=3;98 kDa;;11;3;2;
P21554;Cannabinoid receptor 1 OS=Homo sapiens GN=CNR1 PE=1 SV=1;53 kDa;;4;2;;
P21579;Synaptotagmin-1 OS=Homo sapiens GN=SYT1 PE=1 SV=1;48 kDa;TRUE;8;6;;Yes
P21583;Kit ligand OS=Homo sapiens GN=KITLG PE=1 SV=1;31 kDa;;3;3;;
P21589;5'-nucleotidase OS=Homo sapiens GN=NT5E PE=1 SV=1;63 kDa;;7;1;;
P21695;Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic OS=Homo sapiens GN=GPD1 PE=1 SV=4;38 kDa;;3;1;1;
P21709;Ephrin type-A receptor 1 OS=Homo sapiens GN=EPHA1 PE=1 SV=4;108 kDa;;2;0;;
P21741;Midkine OS=Homo sapiens GN=MDK PE=1 SV=1;16 kDa;;0;4;;
P21757;Macrophage scavenger receptor types I and II OS=Homo sapiens GN=MSR1 PE=1 SV=1;50 kDa;;2;;;
P21802;Fibroblast growth factor receptor 2 OS=Homo sapiens GN=FGFR2 PE=1 SV=1;92 kDa;TRUE;12;6;1;Yes
P21810;Biglycan OS=Homo sapiens GN=BGN PE=1 SV=2;42 kDa;;10;3;;Yes
P21860;Receptor tyrosine-protein kinase erbB-3 OS=Homo sapiens GN=ERBB3 PE=1 SV=1;148 kDa;;14;4;;
P21926;CD9 antigen OS=Homo sapiens GN=CD9 PE=1 SV=4;25 kDa;;4;2;;Yes
P22003;Bone morphogenetic protein 5 OS=Homo sapiens GN=BMP5 PE=2 SV=1;52 kDa;TRUE;3;;;
P22004;Bone morphogenetic protein 6 OS=Homo sapiens GN=BMP6 PE=1 SV=1;57 kDa;TRUE;5;3;;
P22061;Protein-L-isoaspartate(D-aspartate) O-methyltransferase OS=Homo sapiens GN=PCMT1 PE=1 SV=4;25 kDa;;13;11;7;Yes
P22102;Trifunctional purine biosynthetic protein adenosine-3 OS=Homo sapiens GN=GART PE=1 SV=1;108 kDa;;2;1;;
P22105;Cluster of Tenascin-X OS=Homo sapiens GN=TNXB PE=1 SV=3 (P22105);464 kDa;TRUE;110;79;4;Yes
P22223;Cadherin-3 OS=Homo sapiens GN=CDH3 PE=1 SV=2;91 kDa;TRUE;4;0;;
P22303;Acetylcholinesterase OS=Homo sapiens GN=ACHE PE=1 SV=1;68 kDa;TRUE;16;6;;Yes
P22304;Iduronate 2-sulfatase OS=Homo sapiens GN=IDS PE=1 SV=1;62 kDa;;12;12;;Yes
P22314;Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens GN=UBA1 PE=1 SV=3;118 kDa;;7;2;0;
P22352;Glutathione peroxidase 3 OS=Homo sapiens GN=GPX3 PE=1 SV=2;26 kDa;TRUE;8;9;3;
P22392;Cluster of Nucleoside diphosphate kinase B OS=Homo sapiens GN=NME2 PE=1 SV=1 (P22392);17 kDa;TRUE;10;3;1;
P22413;Ectonucleotide pyrophosphatase/phosphodiesterase family member 1 OS=Homo sapiens GN=ENPP1 PE=1 SV=2;105 kDa;;3;0;;
P22455;Fibroblast growth factor receptor 4 OS=Homo sapiens GN=FGFR4 PE=1 SV=2;88 kDa;TRUE;5;3;0;
P22607;Fibroblast growth factor receptor 3 OS=Homo sapiens GN=FGFR3 PE=1 SV=1;88 kDa;TRUE;10;6;2;Yes
P22626;Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens GN=HNRNPA2B1 PE=1 SV=2;37 kDa;;12;;12;
P22676;Calretinin OS=Homo sapiens GN=CALB2 PE=1 SV=2;32 kDa;TRUE;7;3;1;
P22692;Insulin-like growth factor-binding protein 4 OS=Homo sapiens GN=IGFBP4 PE=1 SV=2;28 kDa;;13;11;1;Yes
P22748;Carbonic anhydrase 4 OS=Homo sapiens GN=CA4 PE=1 SV=2;35 kDa;;11;8;;Yes
P22792;Carboxypeptidase N subunit 2 OS=Homo sapiens GN=CPN2 PE=1 SV=3;61 kDa;;11;7;2;Yes
P22891;Vitamin K-dependent protein Z OS=Homo sapiens GN=PROZ PE=1 SV=2;45 kDa;;6;7;;
P22897;Macrophage mannose receptor 1 OS=Homo sapiens GN=MRC1 PE=1 SV=1;166 kDa;TRUE;50;34;;Yes
P23083;Ig heavy chain V-I region V35 OS=Homo sapiens PE=1 SV=1;13 kDa;TRUE;;3;4;
P23141;Liver carboxylesterase 1 OS=Homo sapiens GN=CES1 PE=1 SV=2;63 kDa;;3;0;;
P23142;Fibulin-1 OS=Homo sapiens GN=FBLN1 PE=1 SV=4;77 kDa;;30;33;12;Yes
P23193;Transcription elongation factor A protein 1 OS=Homo sapiens GN=TCEA1 PE=1 SV=2;34 kDa;;1;0;2;
P23229;Integrin alpha-6 OS=Homo sapiens GN=ITGA6 PE=1 SV=4;127 kDa;;7;1;0;
P23246;Splicing factor, proline- and glutamine-rich OS=Homo sapiens GN=SFPQ PE=1 SV=2;76 kDa;TRUE;4;;9;
P23284;Peptidyl-prolyl cis-trans isomerase B OS=Homo sapiens GN=PPIB PE=1 SV=2;24 kDa;;14;13;5;Yes
P23297;Protein S100-A1 OS=Homo sapiens GN=S100A1 PE=1 SV=2;11 kDa;;1;2;;
P23381;Tryptophan--tRNA ligase, cytoplasmic OS=Homo sapiens GN=WARS PE=1 SV=2;53 kDa;;5;4;;
P23434;Glycine cleavage system H protein, mitochondrial OS=Homo sapiens GN=GCSH PE=1 SV=2;19 kDa;;2;1;;
P23435;Cerebellin-1 OS=Homo sapiens GN=CBLN1 PE=1 SV=1;21 kDa;TRUE;7;6;0;Yes
P23467;Receptor-type tyrosine-protein phosphatase beta OS=Homo sapiens GN=PTPRB PE=1 SV=3;224 kDa;;8;0;;
P23468;Receptor-type tyrosine-protein phosphatase delta OS=Homo sapiens GN=PTPRD PE=1 SV=2;215 kDa;TRUE;42;25;2;Yes
P23470;Receptor-type tyrosine-protein phosphatase gamma OS=Homo sapiens GN=PTPRG PE=1 SV=4;162 kDa;;13;8;1;Yes
P23471;Receptor-type tyrosine-protein phosphatase zeta OS=Homo sapiens GN=PTPRZ1 PE=1 SV=4;255 kDa;;34;23;2;Yes
P23515;Oligodendrocyte-myelin glycoprotein OS=Homo sapiens GN=OMG PE=1 SV=2;50 kDa;;10;11;1;Yes
P23526;Adenosylhomocysteinase OS=Homo sapiens GN=AHCY PE=1 SV=4;48 kDa;;6;3;;Yes
P23528;Cluster of Cofilin-1 OS=Homo sapiens GN=CFL1 PE=1 SV=3 (P23528);19 kDa;TRUE;7;10;5;Yes
P23560;Brain-derived neurotrophic factor OS=Homo sapiens GN=BDNF PE=1 SV=1;28 kDa;;3;1;;Yes
P23588;Eukaryotic translation initiation factor 4B OS=Homo sapiens GN=EIF4B PE=1 SV=2;69 kDa;;2;0;;
P24043;Laminin subunit alpha-2 OS=Homo sapiens GN=LAMA2 PE=1 SV=4;344 kDa;;88;69;4;Yes
P24298;Alanine aminotransferase 1 OS=Homo sapiens GN=GPT PE=1 SV=3;55 kDa;TRUE;4;1;;
P24387;Corticotropin-releasing factor-binding protein OS=Homo sapiens GN=CRHBP PE=1 SV=2;36 kDa;;7;1;;Yes
P24592;Insulin-like growth factor-binding protein 6 OS=Homo sapiens GN=IGFBP6 PE=1 SV=1;25 kDa;;12;13;6;Yes
P24593;Insulin-like growth factor-binding protein 5 OS=Homo sapiens GN=IGFBP5 PE=1 SV=1;31 kDa;;11;12;0;Yes
P24666;Low molecular weight phosphotyrosine protein phosphatase OS=Homo sapiens GN=ACP1 PE=1 SV=3;18 kDa;;2;1;;
P24821;Tenascin OS=Homo sapiens GN=TNC PE=1 SV=3;241 kDa;;34;5;0;
P24855;Deoxyribonuclease-1 OS=Homo sapiens GN=DNASE1 PE=1 SV=1;31 kDa;;2;1;;
P25189;Myelin protein P0 OS=Homo sapiens GN=MPZ PE=1 SV=1;28 kDa;;2;3;;
P25311;Cluster of Zinc-alpha-2-glycoprotein OS=Homo sapiens GN=AZGP1 PE=1 SV=2 (P25311);34 kDa;TRUE;18;24;19;Yes
P25325;3-mercaptopyruvate sulfurtransferase OS=Homo sapiens GN=MPST PE=1 SV=3;33 kDa;;2;;1;
P25391;Laminin subunit alpha-1 OS=Homo sapiens GN=LAMA1 PE=1 SV=2;337 kDa;TRUE;8;1;0;
P25445;Tumor necrosis factor receptor superfamily member 6 OS=Homo sapiens GN=FAS PE=1 SV=1;38 kDa;;5;0;;
P25686;DnaJ homolog subfamily B member 2 OS=Homo sapiens GN=DNAJB2 PE=1 SV=3;36 kDa;;3;1;;
P25705;ATP synthase subunit alpha, mitochondrial OS=Homo sapiens GN=ATP5A1 PE=1 SV=1;60 kDa;;0;1;4;
P25713;Metallothionein-3 OS=Homo sapiens GN=MT3 PE=1 SV=1;7 kDa;;4;3;;Yes
P25774;Cathepsin S OS=Homo sapiens GN=CTSS PE=1 SV=3;37 kDa;;11;11;;Yes
P25786;Proteasome subunit alpha type-1 OS=Homo sapiens GN=PSMA1 PE=1 SV=1;30 kDa;;3;2;1;
P25788;Proteasome subunit alpha type-3 OS=Homo sapiens GN=PSMA3 PE=1 SV=2;28 kDa;;3;2;;
P25789;Proteasome subunit alpha type-4 OS=Homo sapiens GN=PSMA4 PE=1 SV=1;29 kDa;;4;1;;
P25940;Collagen alpha-3(V) chain OS=Homo sapiens GN=COL5A3 PE=1 SV=3;172 kDa;;5;0;0;
P25942;Tumor necrosis factor receptor superfamily member 5 OS=Homo sapiens GN=CD40 PE=1 SV=1;31 kDa;;3;1;;
P26022;Pentraxin-related protein PTX3 OS=Homo sapiens GN=PTX3 PE=1 SV=3;42 kDa;;2;1;;
P26038;Moesin OS=Homo sapiens GN=MSN PE=1 SV=3;68 kDa;TRUE;32;26;3;Yes
P26378;Cluster of ELAV-like protein 4 OS=Homo sapiens GN=ELAVL4 PE=1 SV=2 (P26378);42 kDa;TRUE;2;;2;
P26447;Protein S100-A4 OS=Homo sapiens GN=S100A4 PE=1 SV=1;12 kDa;;3;1;1;
P26572;Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase OS=Homo sapiens GN=MGAT1 PE=2 SV=2;51 kDa;TRUE;17;11;6;Yes
P26583;High mobility group protein B2 OS=Homo sapiens GN=HMGB2 PE=1 SV=2;24 kDa;TRUE;1;0;3;
P26641;Elongation factor 1-gamma OS=Homo sapiens GN=EEF1G PE=1 SV=3;50 kDa;;3;;1;
P26885;Peptidyl-prolyl cis-trans isomerase FKBP2 OS=Homo sapiens GN=FKBP2 PE=1 SV=2;16 kDa;;5;;;
P26927;Cluster of Hepatocyte growth factor-like protein OS=Homo sapiens GN=MST1 PE=1 SV=2 (P26927);80 kDa;TRUE;26;16;0;Yes
P26992;Ciliary neurotrophic factor receptor subunit alpha OS=Homo sapiens GN=CNTFR PE=1 SV=2;41 kDa;;10;7;3;Yes
P27169;Serum paraoxonase/arylesterase 1 OS=Homo sapiens GN=PON1 PE=1 SV=3;40 kDa;TRUE;11;16;7;Yes
P27487;Dipeptidyl peptidase 4 OS=Homo sapiens GN=DPP4 PE=1 SV=2;88 kDa;;14;;;
P27797;Calreticulin OS=Homo sapiens GN=CALR PE=1 SV=1;48 kDa;;22;19;;Yes
P27816;Microtubule-associated protein 4 OS=Homo sapiens GN=MAP4 PE=1 SV=3;121 kDa;;3;1;;
P27824;Calnexin OS=Homo sapiens GN=CANX PE=1 SV=2;68 kDa;TRUE;17;6;;Yes
P27918;Properdin OS=Homo sapiens GN=CFP PE=1 SV=2;51 kDa;;8;4;;
P27930;Interleukin-1 receptor type 2 OS=Homo sapiens GN=IL1R2 PE=1 SV=1;45 kDa;;2;;;
P28039;Acyloxyacyl hydrolase OS=Homo sapiens GN=AOAH PE=1 SV=1;65 kDa;;2;;;
P28066;Proteasome subunit alpha type-5 OS=Homo sapiens GN=PSMA5 PE=1 SV=3;26 kDa;;6;3;0;
P28070;Proteasome subunit beta type-4 OS=Homo sapiens GN=PSMB4 PE=1 SV=4;29 kDa;;3;1;;
P28074;Proteasome subunit beta type-5 OS=Homo sapiens GN=PSMB5 PE=1 SV=3;28 kDa;;5;1;1;
P28161;Cluster of Glutathione S-transferase Mu 2 OS=Homo sapiens GN=GSTM2 PE=1 SV=2 (P28161);26 kDa;TRUE;10;3;3;Yes
P28300;Protein-lysine 6-oxidase OS=Homo sapiens GN=LOX PE=1 SV=2;47 kDa;;3;2;1;
P28482;Cluster of Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 (P28482);41 kDa;TRUE;2;1;1;
P28799;Granulins OS=Homo sapiens GN=GRN PE=1 SV=2;64 kDa;;11;8;2;Yes
P28827;Receptor-type tyrosine-protein phosphatase mu OS=Homo sapiens GN=PTPRM PE=1 SV=2;164 kDa;TRUE;9;7;;Yes
P28838;Cytosol aminopeptidase OS=Homo sapiens GN=LAP3 PE=1 SV=3;56 kDa;;11;3;1;Yes
P28908;Tumor necrosis factor receptor superfamily member 8 OS=Homo sapiens GN=TNFRSF8 PE=1 SV=1;64 kDa;;7;1;;
P29120;Neuroendocrine convertase 1 OS=Homo sapiens GN=PCSK1 PE=1 SV=2;84 kDa;;12;7;;Yes
P29122;Proprotein convertase subtilisin/kexin type 6 OS=Homo sapiens GN=PCSK6 PE=1 SV=1;106 kDa;;5;1;;Yes
P29218;Inositol monophosphatase 1 OS=Homo sapiens GN=IMPA1 PE=1 SV=1;30 kDa;;10;8;0;Yes
P29279;Connective tissue growth factor OS=Homo sapiens GN=CTGF PE=1 SV=2;38 kDa;;10;4;1;Yes
P29317;Ephrin type-A receptor 2 OS=Homo sapiens GN=EPHA2 PE=1 SV=2;108 kDa;TRUE;3;1;;
P29320;Ephrin type-A receptor 3 OS=Homo sapiens GN=EPHA3 PE=1 SV=2;110 kDa;TRUE;3;0;;
P29323;Ephrin type-B receptor 2 OS=Homo sapiens GN=EPHB2 PE=1 SV=5;117 kDa;TRUE;15;11;;Yes
P29400;Collagen alpha-5(IV) chain OS=Homo sapiens GN=COL4A5 PE=1 SV=2;161 kDa;TRUE;1;2;;
P29401;Transketolase OS=Homo sapiens GN=TKT PE=1 SV=3;68 kDa;;13;8;;Yes
P29622;Kallistatin OS=Homo sapiens GN=SERPINA4 PE=1 SV=3;49 kDa;;19;20;13;Yes
P29692;Elongation factor 1-delta OS=Homo sapiens GN=EEF1D PE=1 SV=5;31 kDa;;1;;2;
P29762;Cellular retinoic acid-binding protein 1 OS=Homo sapiens GN=CRABP1 PE=1 SV=2;16 kDa;TRUE;9;8;3;Yes
P29966;Myristoylated alanine-rich C-kinase substrate OS=Homo sapiens GN=MARCKS PE=1 SV=4;32 kDa;;9;5;5;Yes
P30041;Peroxiredoxin-6 OS=Homo sapiens GN=PRDX6 PE=1 SV=3;25 kDa;;13;10;5;Yes
P30042;ES1 protein homolog, mitochondrial OS=Homo sapiens GN=C21orf33 PE=1 SV=3;28 kDa;;2;;;
P30043;Flavin reductase (NADPH) OS=Homo sapiens GN=BLVRB PE=1 SV=3;22 kDa;;3;2;;
P30044;Peroxiredoxin-5, mitochondrial OS=Homo sapiens GN=PRDX5 PE=1 SV=4;22 kDa;;3;1;2;
P30046;Cluster of D-dopachrome decarboxylase OS=Homo sapiens GN=DDT PE=1 SV=3 (P30046);13 kDa;TRUE;5;1;;
P30047;GTP cyclohydrolase 1 feedback regulatory protein OS=Homo sapiens GN=GCHFR PE=1 SV=3;10 kDa;;3;;;
P30048;Thioredoxin-dependent peroxide reductase, mitochondrial OS=Homo sapiens GN=PRDX3 PE=1 SV=3;28 kDa;;6;1;0;Yes
P30086;Phosphatidylethanolamine-binding protein 1 OS=Homo sapiens GN=PEBP1 PE=1 SV=3;21 kDa;TRUE;13;14;2;Yes
P30101;Protein disulfide-isomerase A3 OS=Homo sapiens GN=PDIA3 PE=1 SV=4;57 kDa;;24;16;4;Yes
P30153;Cluster of Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Homo sapiens GN=PPP2R1A PE=1 SV=4 (P30153);65 kDa;TRUE;2;1;3;
P30447;Cluster of HLA class I histocompatibility antigen, A-23 alpha chain OS=Homo sapiens GN=HLA-A PE=1 SV=1 (P30447);41 kDa;TRUE;24;20;4;
P30530;Tyrosine-protein kinase receptor UFO OS=Homo sapiens GN=AXL PE=1 SV=3;98 kDa;;6;4;1;Yes
P30531;Sodium- and chloride-dependent GABA transporter 1 OS=Homo sapiens GN=SLC6A1 PE=1 SV=2;67 kDa;;2;1;;
P30533;Alpha-2-macroglobulin receptor-associated protein OS=Homo sapiens GN=LRPAP1 PE=1 SV=1;41 kDa;TRUE;2;;;
P30626;Sorcin OS=Homo sapiens GN=SRI PE=1 SV=1;22 kDa;;2;1;;
P30740;Leukocyte elastase inhibitor OS=Homo sapiens GN=SERPINB1 PE=1 SV=1;43 kDa;TRUE;10;8;1;Yes
P31146;Coronin-1A OS=Homo sapiens GN=CORO1A PE=1 SV=4;51 kDa;TRUE;8;7;0;
P31150;Rab GDP dissociation inhibitor alpha OS=Homo sapiens GN=GDI1 PE=1 SV=2;51 kDa;TRUE;24;19;1;Yes
P31153;Cluster of S-adenosylmethionine synthase isoform type-2 OS=Homo sapiens GN=MAT2A PE=1 SV=1 (P31153);44 kDa;TRUE;4;1;;
P31321;cAMP-dependent protein kinase type I-beta regulatory subunit OS=Homo sapiens GN=PRKAR1B PE=1 SV=4;43 kDa;TRUE;7;3;0;
P31431;Syndecan-4 OS=Homo sapiens GN=SDC4 PE=1 SV=2;22 kDa;;2;;;
P31689;DnaJ homolog subfamily A member 1 OS=Homo sapiens GN=DNAJA1 PE=1 SV=2;45 kDa;;2;1;;
P31937;3-hydroxyisobutyrate dehydrogenase, mitochondrial OS=Homo sapiens GN=HIBADH PE=1 SV=2;35 kDa;;8;2;1;
P31939;Bifunctional purine biosynthesis protein PURH OS=Homo sapiens GN=ATIC PE=1 SV=3;65 kDa;;3;;;
P31942;Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens GN=HNRNPH3 PE=1 SV=2;37 kDa;;;0;2;
P31943;Cluster of Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens GN=HNRNPH1 PE=1 SV=4 (P31943);49 kDa;TRUE;3;;4;
P31944;Caspase-14 OS=Homo sapiens GN=CASP14 PE=1 SV=2;28 kDa;;3;1;3;
P31948;Stress-induced-phosphoprotein 1 OS=Homo sapiens GN=STIP1 PE=1 SV=1;63 kDa;;5;;1;
P31949;Protein S100-A11 OS=Homo sapiens GN=S100A11 PE=1 SV=2;12 kDa;;2;1;;
P32004;Neural cell adhesion molecule L1 OS=Homo sapiens GN=L1CAM PE=1 SV=2;140 kDa;TRUE;33;30;3;Yes
P32119;Peroxiredoxin-2 OS=Homo sapiens GN=PRDX2 PE=1 SV=5;22 kDa;TRUE;11;10;7;Yes
P32241;Vasoactive intestinal polypeptide receptor 1 OS=Homo sapiens GN=VIPR1 PE=1 SV=1;52 kDa;;2;0;;
P32418;Sodium/calcium exchanger 1 OS=Homo sapiens GN=SLC8A1 PE=1 SV=3;109 kDa;;3;1;;
P32754;4-hydroxyphenylpyruvate dioxygenase OS=Homo sapiens GN=HPD PE=1 SV=2;45 kDa;;4;1;;
P33151;Cadherin-5 OS=Homo sapiens GN=CDH5 PE=1 SV=5;88 kDa;;9;10;;Yes
P33908;Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA OS=Homo sapiens GN=MAN1A1 PE=1 SV=3;73 kDa;TRUE;24;23;5;
P34059;N-acetylgalactosamine-6-sulfatase OS=Homo sapiens GN=GALNS PE=1 SV=1;58 kDa;;12;9;;Yes
P34096;Ribonuclease 4 OS=Homo sapiens GN=RNASE4 PE=1 SV=3;17 kDa;;7;7;1;Yes
P34932;Heat shock 70 kDa protein 4 OS=Homo sapiens GN=HSPA4 PE=1 SV=4;94 kDa;TRUE;17;3;1;Yes
P34949;Mannose-6-phosphate isomerase OS=Homo sapiens GN=MPI PE=1 SV=2;47 kDa;;10;4;;
P35030;Trypsin-3 OS=Homo sapiens GN=PRSS3 PE=1 SV=2;33 kDa;TRUE;3;0;;
P35052;Glypican-1 OS=Homo sapiens GN=GPC1 PE=1 SV=2;62 kDa;;19;16;1;Yes
P35080;Profilin-2 OS=Homo sapiens GN=PFN2 PE=1 SV=3;15 kDa;;3;2;1;Yes
P35219;Carbonic anhydrase-related protein OS=Homo sapiens GN=CA8 PE=1 SV=3;33 kDa;;2;;;
P35221;Cluster of Catenin alpha-1 OS=Homo sapiens GN=CTNNA1 PE=1 SV=1 (P35221);100 kDa;TRUE;2;0;0;
P35232;Prohibitin OS=Homo sapiens GN=PHB PE=1 SV=1;30 kDa;;1;;2;
P35237;Serpin B6 OS=Homo sapiens GN=SERPINB6 PE=1 SV=3;43 kDa;TRUE;13;7;;
P35241;Radixin OS=Homo sapiens GN=RDX PE=1 SV=1;69 kDa;TRUE;17;10;4;
P35247;Pulmonary surfactant-associated protein D OS=Homo sapiens GN=SFTPD PE=1 SV=3;38 kDa;;5;1;;
P35318;ADM OS=Homo sapiens GN=ADM PE=1 SV=1;20 kDa;;2;;0;Yes
P35442;Thrombospondin-2 OS=Homo sapiens GN=THBS2 PE=1 SV=2;130 kDa;TRUE;33;19;;Yes
P35443;Thrombospondin-4 OS=Homo sapiens GN=THBS4 PE=1 SV=2;106 kDa;TRUE;19;14;4;Yes
P35475;Alpha-L-iduronidase OS=Homo sapiens GN=IDUA PE=1 SV=2;73 kDa;;9;4;1;Yes
P35527;Keratin, type I cytoskeletal 9 OS=Homo sapiens GN=KRT9 PE=1 SV=3;62 kDa;TRUE;21;25;21;Yes
P35542;Serum amyloid A-4 protein OS=Homo sapiens GN=SAA4 PE=1 SV=2;15 kDa;;3;5;4;Yes
P35555;Fibrillin-1 OS=Homo sapiens GN=FBN1 PE=1 SV=3;312 kDa;TRUE;55;55;4;Yes
P35556;Fibrillin-2 OS=Homo sapiens GN=FBN2 PE=1 SV=3;315 kDa;TRUE;2;1;;
P35579;Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4;227 kDa;TRUE;10;1;1;Yes
P35580;Myosin-10 OS=Homo sapiens GN=MYH10 PE=1 SV=3;229 kDa;TRUE;3;0;0;
P35590;Tyrosine-protein kinase receptor Tie-1 OS=Homo sapiens GN=TIE1 PE=1 SV=1;125 kDa;TRUE;15;10;;
P35606;Coatomer subunit beta' OS=Homo sapiens GN=COPB2 PE=1 SV=2;102 kDa;;5;2;;
P35613;Basigin OS=Homo sapiens GN=BSG PE=1 SV=2;42 kDa;;8;5;;Yes
P35625;Metalloproteinase inhibitor 3 OS=Homo sapiens GN=TIMP3 PE=1 SV=2;24 kDa;;3;0;2;
P35637;Cluster of RNA-binding protein FUS OS=Homo sapiens GN=FUS PE=1 SV=1 (P35637);53 kDa;TRUE;3;;3;
P35749;Myosin-11 OS=Homo sapiens GN=MYH11 PE=1 SV=3;227 kDa;TRUE;15;0;;
P35754;Glutaredoxin-1 OS=Homo sapiens GN=GLRX PE=1 SV=2;12 kDa;;2;3;1;Yes
P35858;Insulin-like growth factor-binding protein complex acid labile subunit OS=Homo sapiens GN=IGFALS PE=1 SV=1;66 kDa;;17;19;10;Yes
P35908;Cluster of Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens GN=KRT2 PE=1 SV=2 (P35908);65 kDa;TRUE;25;23;27;
P35916;Vascular endothelial growth factor receptor 3 OS=Homo sapiens GN=FLT4 PE=1 SV=3;153 kDa;TRUE;7;2;;
P35968;Vascular endothelial growth factor receptor 2 OS=Homo sapiens GN=KDR PE=1 SV=2;152 kDa;TRUE;9;2;0;
P35998;26S protease regulatory subunit 7 OS=Homo sapiens GN=PSMC2 PE=1 SV=3;49 kDa;;2;0;;
P36222;Chitinase-3-like protein 1 OS=Homo sapiens GN=CHI3L1 PE=1 SV=2;43 kDa;;20;22;3;Yes
P36268;Cluster of Gamma-glutamyltranspeptidase 2 OS=Homo sapiens GN=GGT2 PE=1 SV=3 (P36268);62 kDa;TRUE;2;;;
P36269;Gamma-glutamyltransferase 5 OS=Homo sapiens GN=GGT5 PE=1 SV=2;62 kDa;;4;1;;
P36405;ADP-ribosylation factor-like protein 3 OS=Homo sapiens GN=ARL3 PE=1 SV=2;20 kDa;;3;;;
P36578;60S ribosomal protein L4 OS=Homo sapiens GN=RPL4 PE=1 SV=5;48 kDa;;2;0;0;
P36871;Phosphoglucomutase-1 OS=Homo sapiens GN=PGM1 PE=1 SV=3;61 kDa;;15;17;3;Yes
P36888;Receptor-type tyrosine-protein kinase FLT3 OS=Homo sapiens GN=FLT3 PE=1 SV=2;113 kDa;TRUE;7;0;;
P36896;Activin receptor type-1B OS=Homo sapiens GN=ACVR1B PE=1 SV=1;57 kDa;TRUE;3;2;;
P36897;TGF-beta receptor type-1 OS=Homo sapiens GN=TGFBR1 PE=1 SV=1;56 kDa;TRUE;2;1;;
P36955;Pigment epithelium-derived factor OS=Homo sapiens GN=SERPINF1 PE=1 SV=4;46 kDa;;29;37;9;Yes
P36957;Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Homo sapiens GN=DLST PE=1 SV=4;49 kDa;;2;2;0;
P36980;Complement factor H-related protein 2 OS=Homo sapiens GN=CFHR2 PE=1 SV=1;31 kDa;TRUE;11;8;3;Yes
P37802;Transgelin-2 OS=Homo sapiens GN=TAGLN2 PE=1 SV=3;22 kDa;TRUE;5;2;0;Yes
P37837;Transaldolase OS=Homo sapiens GN=TALDO1 PE=1 SV=2;38 kDa;;16;6;1;Yes
P37840;Alpha-synuclein OS=Homo sapiens GN=SNCA PE=1 SV=1;14 kDa;TRUE;3;1;;
P38159;Cluster of RNA-binding motif protein, X chromosome OS=Homo sapiens GN=RBMX PE=1 SV=3 (P38159);42 kDa;TRUE;3;;3;
P38571;Lysosomal acid lipase/cholesteryl ester hydrolase OS=Homo sapiens GN=LIPA PE=1 SV=2;45 kDa;;5;1;2;
