"CSF-PR / CSF GEL DEPLETED FRACTION / Proteins / "
"","PI","Accession","Other Protein(s)","Description","CHROMOSOME","Gene Name","Coverage(%)","Non Enzymatic Peptides","#Peptides","#Spectra","NSAF","RANK (NSAF)","MW","Confidence","Spectrum Lower Range","Spectrum Upper Range","Peptide Lower Range","Peptide Upper Range","Validated"
4293.00,"SINGLE PROTEIN","Q6ZSZ5",""," Rho guanine nucleotide exchange factor 18 (ARHGI_HUMAN)","19","ARHGEF18",0.00,"false",0.00,0.00,0.00,3066.00,130.70,12.27,,,,,"false"
4294.00,"SINGLE PROTEIN","Q0P5P2",""," Uncharacterized protein C17orf67 (CQ067_HUMAN)","17","C17ORF67",0.00,"false",0.00,0.00,0.00,3066.00,13.45,12.27,,,,,"false"
4295.00,"SINGLE PROTEIN","Q9H0M5",""," Zinc finger protein 700 (ZN700_HUMAN)","19","ZNF700",0.00,"false",0.00,1.00,0.00,2296.00,86.18,12.27,,,,,"false"
4296.00,"SINGLE PROTEIN","Q8NG06",""," E3 ubiquitin-protein ligase TRIM58 (TRI58_HUMAN)","1","TRIM58",0.00,"false",0.00,0.00,0.00,3066.00,54.73,12.27,,,,,"false"
4297.00,"SINGLE PROTEIN","Q8IY67",""," Ribonucleoprotein PTB-binding 1 (RAVR1_HUMAN)","19","RAVER1",0.00,"false",0.00,1.00,0.00,1659.00,63.84,12.27,,,,,"false"
4298.00,"SINGLE PROTEIN","P23610",""," Factor VIII intron 22 protein (F8I2_HUMAN)","X","F8A1",0.00,"false",0.00,0.00,0.00,3066.00,39.08,12.27,,,,,"false"
4299.00,"SINGLE PROTEIN","P24864",""," G1/S-specific cyclin-E1 (CCNE1_HUMAN)","19","CCNE1",0.00,"false",0.00,0.00,0.00,3066.00,47.05,12.27,,,,,"false"
4300.00,"SINGLE PROTEIN","Q9H993",""," Protein-glutamate O-methyltransferase (ARMT1_HUMAN)","6","C6ORF211",0.00,"false",0.00,2.00,0.00,2222.00,51.14,12.27,,,,,"false"
4301.00,"SINGLE PROTEIN","Q96DX5",""," Ankyrin repeat and SOCS box protein 9 (ASB9_HUMAN)","X","ASB9",0.00,"false",0.00,0.00,0.00,3066.00,31.84,12.27,,,,,"false"
4302.00,"SINGLE PROTEIN","Q92908",""," Transcription factor GATA-6 (GATA6_HUMAN)","18","GATA6",0.00,"false",0.00,0.00,0.00,3066.00,59.99,12.27,,,,,"false"
4303.00,"SINGLE PROTEIN","O00217",""," NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (NDUS8_HUMAN)","11","NDUFS8",0.00,"false",0.00,0.00,0.00,3066.00,23.69,12.27,,,,,"false"
4304.00,"SINGLE PROTEIN","O60503",""," Adenylate cyclase type 9 (ADCY9_HUMAN)","16","ADCY9",0.00,"false",0.00,0.00,0.00,3066.00,150.60,12.27,,,,,"false"
4305.00,"SINGLE PROTEIN","Q58F21",""," Bromodomain testis-specific protein (BRDT_HUMAN)","1","BRDT",0.00,"false",0.00,0.00,0.00,3066.00,107.89,12.27,,,,,"false"
4306.00,"SINGLE PROTEIN","Q5T655",""," Cilia- and flagella-associated protein 58 (CFA58_HUMAN)","10","CCDC147",0.00,"false",0.00,0.00,0.00,3066.00,103.35,12.27,,,,,"false"
4307.00,"SINGLE PROTEIN","O60934",""," Nibrin (NBN_HUMAN)","8","NBN",0.00,"false",0.00,0.00,0.00,3066.00,84.91,12.27,,,,,"false"
4308.00,"SINGLE PROTEIN","Q9NQR7",""," Coiled-coil domain-containing protein 177 (CC177_HUMAN)","","CCDC177",0.00,"false",0.00,0.00,0.00,3066.00,79.69,12.27,,,,,"false"
4309.00,"SINGLE PROTEIN","O95881",""," Thioredoxin domain-containing protein 12 (TXD12_HUMAN)","1","TXNDC12",0.00,"false",0.00,0.00,0.00,3066.00,19.19,12.26,,,,,"false"
4310.00,"SINGLE PROTEIN","Q9BV40",""," Vesicle-associated membrane protein 8 (VAMP8_HUMAN)","2","VAMP8",0.00,"false",0.00,0.00,0.00,3066.00,11.43,12.18,,,,,"false"
4311.00,"SINGLE PROTEIN","O43164",""," E3 ubiquitin-protein ligase Praja-2 (PJA2_HUMAN)","5","PJA2",0.00,"false",0.00,0.00,0.00,3066.00,78.17,12.18,,,,,"false"
4312.00,"SINGLE PROTEIN","O43150",""," Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2 (ASAP2_HUMAN)","2","ASAP2",0.00,"false",0.00,0.00,0.00,3066.00,111.58,12.18,,,,,"false"
4313.00,"SINGLE PROTEIN","Q02817",""," Mucin-2 (MUC2_HUMAN)","11","MUC2",0.00,"false",0.00,0.00,0.00,3066.00,539.96,12.18,,,,,"false"
4314.00,"SINGLE PROTEIN","Q8N9B5",""," Junction-mediating and -regulatory protein (JMY_HUMAN)","5","JMY",0.00,"false",0.00,0.00,0.00,3066.00,111.38,12.18,,,,,"false"
4315.00,"SINGLE PROTEIN","P04424",""," Argininosuccinate lyase (ARLY_HUMAN)","7","ASL",0.00,"false",0.00,0.00,0.00,3066.00,51.63,12.18,,,,,"false"
4316.00,"SINGLE PROTEIN","Q01954",""," Zinc finger protein basonuclin-1 (BNC1_HUMAN)","15","BNC1",0.00,"false",0.00,0.00,0.00,3066.00,110.90,12.18,,,,,"false"
4317.00,"SINGLE PROTEIN","Q53HV7",""," Single-strand selective monofunctional uracil DNA glycosylase (SMUG1_HUMAN)","12","SMUG1",0.00,"false",0.00,1.00,0.00,1742.00,29.84,12.18,,,,,"false"
4318.00,"SINGLE PROTEIN","Q9BZL6",""," Serine/threonine-protein kinase D2 (KPCD2_HUMAN)","19","PRKD2",0.00,"false",0.00,0.00,0.00,3066.00,96.69,12.18,,,,,"false"
4319.00,"SINGLE PROTEIN","O75038",""," 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2 (PLCH2_HUMAN)","1","PLCH2",0.00,"false",0.00,0.00,0.00,3066.00,154.57,12.18,,,,,"false"
4320.00,"SINGLE PROTEIN","O75112",""," LIM domain-binding protein 3 (LDB3_HUMAN)","10","LDB3",0.00,"false",0.00,0.00,0.00,3066.00,77.09,12.18,,,,,"false"
4321.00,"SINGLE PROTEIN","Q7Z3G6",""," Prickle-like protein 2 (PRIC2_HUMAN)","3","PRICKLE2",0.00,"false",0.00,0.00,0.00,3066.00,95.55,12.18,,,,,"false"
4322.00,"SINGLE PROTEIN","P12883",""," Myosin-7 (MYH7_HUMAN)","14","MYH7",0.00,"false",0.00,0.00,0.00,3066.00,222.96,12.18,,,,,"false"
4323.00,"SINGLE PROTEIN","O14958",""," Calsequestrin-2 (CASQ2_HUMAN)","1","CASQ2",0.00,"false",0.00,0.00,0.00,3066.00,46.41,12.18,,,,,"false"
4324.00,"SINGLE PROTEIN","A2RTX5",""," Probable threonine--tRNA ligase 2, cytoplasmic (SYTC2_HUMAN)","15","TARSL2",0.00,"false",0.00,0.00,0.00,3066.00,92.59,12.18,,,,,"false"
4325.00,"SINGLE PROTEIN","Q5T1A1",""," DC-STAMP domain-containing protein 2 (DCST2_HUMAN)","1","DCST2",0.00,"false",0.00,0.00,0.00,3066.00,86.17,12.18,,,,,"false"
4326.00,"SINGLE PROTEIN","Q7Z7G1",""," Cytokine-dependent hematopoietic cell linker (CLNK_HUMAN)","4","CLNK",0.00,"false",0.00,0.00,0.00,3066.00,49.52,12.18,,,,,"false"
4327.00,"SINGLE PROTEIN","Q16720",""," Plasma membrane calcium-transporting ATPase 3 (AT2B3_HUMAN)","X","ATP2B3",0.00,"false",0.00,0.00,0.00,3066.00,134.11,12.18,,,,,"false"
4328.00,"SINGLE PROTEIN","Q08AE8",""," Protein spire homolog 1 (SPIR1_HUMAN)","18","SPIRE1",0.00,"false",0.00,0.00,0.00,3066.00,85.49,12.18,,,,,"false"
4329.00,"SINGLE PROTEIN","Q9Y2I7",""," 1-phosphatidylinositol 3-phosphate 5-kinase (FYV1_HUMAN)","2","PIKFYVE",0.00,"false",0.00,0.00,0.00,3066.00,236.99,12.18,,,,,"false"
4330.00,"SINGLE PROTEIN","O95343",""," Homeobox protein SIX3 (SIX3_HUMAN)","2","SIX3",0.00,"false",0.00,1.00,0.00,1900.00,35.46,12.18,,,,,"false"
4331.00,"SINGLE PROTEIN","O15037",""," Protein KHNYN (KHNYN_HUMAN)","14","KHNYN",0.00,"false",0.00,1.00,0.00,2648.00,74.49,12.17,,,,,"false"
4332.00,"SINGLE PROTEIN","Q03923",""," Zinc finger protein 85 (ZNF85_HUMAN)","19","ZNF85",0.00,"false",0.00,1.00,0.00,2573.00,68.69,12.17,,,,,"false"
4333.00,"SINGLE PROTEIN","Q33E94",""," Transcription factor RFX4 (RFX4_HUMAN)","12","RFX4",0.00,"false",0.00,0.00,0.00,3066.00,83.31,12.17,,,,,"false"
4334.00,"SINGLE PROTEIN","P18433",""," Receptor-type tyrosine-protein phosphatase alpha (PTPRA_HUMAN)","20","PTPRA",0.00,"false",0.00,1.00,0.00,2218.00,90.54,12.16,,,,,"false"
4335.00,"SINGLE PROTEIN","Q66K89",""," Transcription factor E4F1 (E4F1_HUMAN)","16","E4F1",0.00,"false",0.00,0.00,0.00,3066.00,83.44,12.15,,,,,"false"
4336.00,"SINGLE PROTEIN","Q9Y5X2",""," Sorting nexin-8 (SNX8_HUMAN)","7","SNX8",0.00,"false",0.00,0.00,0.00,3066.00,52.54,12.10,,,,,"false"
4337.00,"SINGLE PROTEIN","Q96PV6",""," Leukocyte receptor cluster member 8 (LENG8_HUMAN)","19","LENG8",0.00,"false",0.00,0.00,0.00,3066.00,86.07,12.10,,,,,"false"
4338.00,"UNRELATED PROTEINS","A8MPP1","Q92771"," Putative ATP-dependent RNA helicase DDX11-like protein 8 (D11L8_HUMAN)","12","DDX11L8",0.00,"false",0.00,0.00,0.00,3066.00,101.75,12.10,,,,,"false"
4339.00,"SINGLE PROTEIN","Q9Y4I5",""," Tesmin (MTL5_HUMAN)","11","MTL5",0.00,"false",0.00,0.00,0.00,3066.00,54.99,12.10,,,,,"false"
4340.00,"SINGLE PROTEIN","Q99704",""," Docking protein 1 (DOK1_HUMAN)","2","DOK1",0.00,"false",0.00,0.00,0.00,3066.00,52.36,12.10,,,,,"false"
4341.00,"SINGLE PROTEIN","Q9NZ72",""," Stathmin-3 (STMN3_HUMAN)","20","STMN3",0.00,"false",0.00,0.00,0.00,3066.00,21.00,12.10,,,,,"false"
4342.00,"SINGLE PROTEIN","Q9NYK6",""," Protein EURL homolog (EURL_HUMAN)","","EURL",0.00,"false",0.00,1.00,0.00,2297.00,33.93,12.10,,,,,"false"
4343.00,"SINGLE PROTEIN","P50226",""," Sulfotransferase 1A2 (ST1A2_HUMAN)","16","SULT1A2",0.00,"false",0.00,0.00,0.00,3066.00,34.29,12.10,,,,,"false"
4344.00,"SINGLE PROTEIN","Q5TF58",""," Intermediate filament family orphan 2 (IFFO2_HUMAN)","1","IFFO2",0.00,"false",0.00,0.00,0.00,3066.00,57.29,12.10,,,,,"false"
4345.00,"SINGLE PROTEIN","Q9UQC2",""," GRB2-associated-binding protein 2 (GAB2_HUMAN)","11","GAB2",0.00,"false",0.00,0.00,0.00,3066.00,74.41,12.10,,,,,"false"
4346.00,"SINGLE PROTEIN","Q5JQC9",""," A-kinase anchor protein 4 (AKAP4_HUMAN)","X","AKAP4",0.00,"false",0.00,0.00,0.00,3066.00,94.42,12.10,,,,,"false"
4347.00,"SINGLE PROTEIN","Q8TBA6",""," Golgin subfamily A member 5 (GOGA5_HUMAN)","14","GOLGA5",0.00,"false",0.00,0.00,0.00,3066.00,82.97,12.10,,,,,"false"
4348.00,"SINGLE PROTEIN","Q92824",""," Proprotein convertase subtilisin/kexin type 5 (PCSK5_HUMAN)","9","PCSK5",0.00,"false",0.00,0.00,0.00,3066.00,206.80,12.10,,,,,"false"
4349.00,"SINGLE PROTEIN","Q8N3R3",""," T-cell activation inhibitor, mitochondrial (TCAIM_HUMAN)","3","TCAIM",0.00,"false",0.00,0.00,0.00,3066.00,57.89,12.10,,,,,"false"
4350.00,"RELATED PROTEINS","P38159","Q96E39"," RNA-binding motif protein, X chromosome (RBMX_HUMAN)","X","RBMX",0.00,"false",0.00,0.00,0.00,3066.00,42.31,12.10,,,,,"false"
4351.00,"SINGLE PROTEIN","Q2M2Z5",""," Centrosomal protein kizuna (KIZ_HUMAN)","20","PLK1S1",0.00,"false",0.00,0.00,0.00,3066.00,75.06,12.10,,,,,"false"
4352.00,"SINGLE PROTEIN","P55081",""," Microfibrillar-associated protein 1 (MFAP1_HUMAN)","15","MFAP1",0.00,"false",0.00,0.00,0.00,3066.00,51.93,12.10,,,,,"false"
4353.00,"SINGLE PROTEIN","Q9GZN2",""," Homeobox protein TGIF2 (TGIF2_HUMAN)","20","TGIF2",0.00,"false",0.00,0.00,0.00,3066.00,25.86,12.10,,,,,"false"
4354.00,"SINGLE PROTEIN","Q15172",""," Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform (2A5A_HUMAN)","1","PPP2R5A",0.00,"false",0.00,0.00,0.00,3066.00,56.16,12.10,,,,,"false"
4355.00,"SINGLE PROTEIN","Q2M1P5",""," Kinesin-like protein KIF7 (KIF7_HUMAN)","15","KIF7",0.00,"false",0.00,0.00,0.00,3066.00,150.49,12.10,,,,,"false"
4356.00,"SINGLE PROTEIN","Q9Y2H8",""," Zinc finger protein 510 (ZN510_HUMAN)","9","ZNF510",0.00,"false",0.00,0.00,0.00,3066.00,79.09,12.10,,,,,"false"
4357.00,"SINGLE PROTEIN","Q9NS87",""," Kinesin-like protein KIF15 (KIF15_HUMAN)","3","KIF15",0.00,"false",0.00,0.00,0.00,3066.00,160.06,12.10,,,,,"false"
4358.00,"SINGLE PROTEIN","Q96M95",""," Coiled-coil domain-containing protein 42A (CCD42_HUMAN)","17","CCDC42",0.00,"false",0.00,0.00,0.00,3066.00,37.99,12.10,,,,,"false"
4359.00,"SINGLE PROTEIN","Q8N6G2",""," Testis-expressed sequence 26 protein (TEX26_HUMAN)","13","TEX26",0.00,"false",0.00,0.00,0.00,3066.00,33.57,12.10,,,,,"false"
4360.00,"SINGLE PROTEIN","Q13042",""," Cell division cycle protein 16 homolog (CDC16_HUMAN)","13","CDC16",0.00,"false",0.00,0.00,0.00,3066.00,71.61,12.10,,,,,"false"
4361.00,"SINGLE PROTEIN","Q96QE5",""," Transcription elongation factor, mitochondrial (TEFM_HUMAN)","17","TEFM",0.00,"false",0.00,0.00,0.00,3066.00,41.65,12.09,,,,,"false"
4362.00,"SINGLE PROTEIN","Q32M45",""," Anoctamin-4 (ANO4_HUMAN)","12","ANO4",0.00,"false",0.00,0.00,0.00,3066.00,111.39,12.09,,,,,"false"
4363.00,"SINGLE PROTEIN","Q969S8",""," Histone deacetylase 10 (HDA10_HUMAN)","22","HDAC10",0.00,"false",0.00,0.00,0.00,3066.00,71.40,12.09,,,,,"false"
4364.00,"SINGLE PROTEIN","P57729",""," Ras-related protein Rab-38 (RAB38_HUMAN)","11","RAB38",0.00,"false",0.00,0.00,0.00,3066.00,23.70,12.09,,,,,"false"
4365.00,"SINGLE PROTEIN","Q96SB3",""," Neurabin-2 (NEB2_HUMAN)","17","PPP1R9B",0.00,"false",0.00,0.00,0.00,3066.00,89.14,12.01,,,,,"false"
4366.00,"SINGLE PROTEIN","Q8IWI9",""," MAX gene-associated protein (MGAP_HUMAN)","15","MGA",0.00,"false",0.00,0.00,0.00,3066.00,331.62,12.01,,,,,"false"
4367.00,"SINGLE PROTEIN","O95045",""," Uridine phosphorylase 2 (UPP2_HUMAN)","2","UPP2",0.00,"false",0.00,0.00,0.00,3066.00,35.50,12.01,,,,,"false"
4368.00,"SINGLE PROTEIN","Q96EY1",""," DnaJ homolog subfamily A member 3, mitochondrial (DNJA3_HUMAN)","16","DNAJA3",0.00,"false",0.00,0.00,0.00,3066.00,52.46,12.01,,,,,"false"
4369.00,"SINGLE PROTEIN","Q86T82",""," Ubiquitin carboxyl-terminal hydrolase 37 (UBP37_HUMAN)","2","USP37",0.00,"false",0.00,0.00,0.00,3066.00,110.10,12.01,,,,,"false"
4370.00,"SINGLE PROTEIN","O60673",""," DNA polymerase zeta catalytic subunit (DPOLZ_HUMAN)","6","REV3L",0.00,"false",0.00,0.00,0.00,3066.00,352.55,12.01,,,,,"false"
4371.00,"SINGLE PROTEIN","Q92796",""," Disks large homolog 3 (DLG3_HUMAN)","X","DLG3",0.00,"false",0.00,0.00,0.00,3066.00,90.26,12.00,,,,,"false"
4372.00,"SINGLE PROTEIN","P55072",""," Transitional endoplasmic reticulum ATPase (TERA_HUMAN)","9","VCP",0.00,"false",0.00,0.00,0.00,3066.00,89.27,12.00,,,,,"false"
4373.00,"SINGLE PROTEIN","Q99518",""," Dimethylaniline monooxygenase [N-oxide-forming] 2 (FMO2_HUMAN)","1","FMO2",0.00,"false",0.00,0.00,0.00,3066.00,53.61,12.00,,,,,"false"
4374.00,"SINGLE PROTEIN","Q9NS56",""," E3 ubiquitin-protein ligase Topors (TOPRS_HUMAN)","9","TOPORS",0.00,"false",0.00,0.00,0.00,3066.00,119.13,11.99,,,,,"false"
4375.00,"SINGLE PROTEIN","Q6DKJ4",""," Nucleoredoxin (NXN_HUMAN)","17","NXN",0.00,"false",0.00,1.00,0.00,2175.00,48.36,11.92,,,,,"false"
4376.00,"SINGLE PROTEIN","Q8WW22",""," DnaJ homolog subfamily A member 4 (DNJA4_HUMAN)","15","DNAJA4",0.00,"false",0.00,0.00,0.00,3066.00,44.77,11.92,,,,,"false"
4377.00,"SINGLE PROTEIN","Q8IWF9",""," Coiled-coil domain-containing protein 83 (CCD83_HUMAN)","11","CCDC83",0.00,"false",0.00,0.00,0.00,3066.00,48.82,11.92,,,,,"false"
4378.00,"SINGLE PROTEIN","P22083",""," Alpha-(1,3)-fucosyltransferase 4 (FUT4_HUMAN)","11","FUT4",0.00,"false",0.00,0.00,0.00,3066.00,59.05,11.92,,,,,"false"
4379.00,"SINGLE PROTEIN","Q2TBE0",""," CWF19-like protein 2 (C19L2_HUMAN)","11","CWF19L2",0.00,"false",0.00,0.00,0.00,3066.00,103.72,11.92,,,,,"false"
4380.00,"SINGLE PROTEIN","Q96NS8",""," Putative protein CLUHP3 (CLUP3_HUMAN)","16","KIAA0664L3",0.00,"false",0.00,1.00,0.01,830.00,16.68,11.91,,,,,"false"
4381.00,"SINGLE PROTEIN","Q14CX7",""," N-alpha-acetyltransferase 25, NatB auxiliary subunit (NAA25_HUMAN)","12","NAA25",0.00,"false",0.00,1.00,0.00,2683.00,112.22,11.91,,,,,"false"
4382.00,"SINGLE PROTEIN","Q9BZ76",""," Contactin-associated protein-like 3 (CNTP3_HUMAN)","9","CNTNAP3",5.43,"false",6.00,12.00,0.00,1828.00,140.60,11.84,,,,,"false"
4383.00,"SINGLE PROTEIN","Q8WXG8",""," Protein S100-Z (S100Z_HUMAN)","5","S100Z",0.00,"false",0.00,0.00,0.00,3066.00,11.61,11.84,,,,,"false"
4384.00,"SINGLE PROTEIN","Q13596",""," Sorting nexin-1 (SNX1_HUMAN)","15","SNX1",0.00,"false",0.00,1.00,0.00,2336.00,59.03,11.84,,,,,"false"
4385.00,"SINGLE PROTEIN","Q9Y2K3",""," Myosin-15 (MYH15_HUMAN)","3","MYH15",0.00,"false",0.00,0.00,0.00,3066.00,224.48,11.84,,,,,"false"
4386.00,"SINGLE PROTEIN","Q86V48",""," Leucine zipper protein 1 (LUZP1_HUMAN)","1","LUZP1",0.00,"false",0.00,1.00,0.00,2869.00,120.20,11.84,,,,,"false"
4387.00,"SINGLE PROTEIN","P51793",""," H(+)/Cl(-) exchange transporter 4 (CLCN4_HUMAN)","X","CLCN4",0.00,"false",0.00,0.00,0.00,3066.00,84.86,11.84,,,,,"false"
4388.00,"SINGLE PROTEIN","P52824",""," Diacylglycerol kinase theta (DGKQ_HUMAN)","4","DGKQ",0.00,"false",0.00,0.00,0.00,3066.00,101.09,11.84,,,,,"false"
4389.00,"SINGLE PROTEIN","Q6NUQ1",""," RAD50-interacting protein 1 (RINT1_HUMAN)","7","RINT1",0.00,"false",0.00,0.00,0.00,3066.00,90.57,11.84,,,,,"false"
4390.00,"SINGLE PROTEIN","Q8NI77",""," Kinesin-like protein KIF18A (KI18A_HUMAN)","11","KIF18A",0.00,"false",0.00,0.00,0.00,3066.00,102.22,11.84,,,,,"false"
4391.00,"SINGLE PROTEIN","P35398",""," Nuclear receptor ROR-alpha (RORA_HUMAN)","15","RORA",0.00,"false",0.00,0.00,0.00,3066.00,62.99,11.84,,,,,"false"
4392.00,"SINGLE PROTEIN","Q96A09",""," Protein FAM46B (FA46B_HUMAN)","1","FAM46B",0.00,"false",0.00,0.00,0.00,3066.00,46.66,11.84,,,,,"false"
4393.00,"SINGLE PROTEIN","Q7Z4T9",""," Protein MAATS1 (MAAT1_HUMAN)","","AAT1",0.00,"false",0.00,0.00,0.00,3066.00,70.95,11.84,,,,,"false"
4394.00,"SINGLE PROTEIN","O75339",""," Cartilage intermediate layer protein 1 (CILP1_HUMAN)","15","CILP",0.00,"false",0.00,0.00,0.00,3066.00,132.48,11.84,,,,,"false"
4395.00,"SINGLE PROTEIN","Q9P2N2",""," Rho GTPase-activating protein 28 (RHG28_HUMAN)","18","ARHGAP28",0.00,"false",0.00,1.00,0.00,2732.00,82.01,11.84,,,,,"false"
4396.00,"SINGLE PROTEIN","O95278",""," Laforin (EPM2A_HUMAN)","6","EPM2A",0.00,"false",0.00,0.00,0.00,3066.00,37.13,11.84,,,,,"false"
4397.00,"SINGLE PROTEIN","P17096",""," High mobility group protein HMG-I/HMG-Y (HMGA1_HUMAN)","6","HMGA1",0.00,"false",0.00,0.00,0.00,3066.00,11.67,11.84,,,,,"false"
4398.00,"SINGLE PROTEIN","Q9H9Y6",""," DNA-directed RNA polymerase I subunit RPA2 (RPA2_HUMAN)","2","POLR1B",0.00,"false",0.00,0.00,0.00,3066.00,128.15,11.84,,,,,"false"
4399.00,"SINGLE PROTEIN","P42356",""," Phosphatidylinositol 4-kinase alpha (PI4KA_HUMAN)","22","PI4KA",0.00,"false",0.00,0.00,0.00,3066.00,231.17,11.84,,,,,"false"
4400.00,"SINGLE PROTEIN","P30559",""," Oxytocin receptor (OXYR_HUMAN)","3","OXTR",0.00,"false",0.00,0.00,0.00,3066.00,42.74,11.84,,,,,"false"
4401.00,"SINGLE PROTEIN","O60942",""," mRNA-capping enzyme (MCE1_HUMAN)","6","RNGTT",0.00,"false",0.00,0.00,0.00,3066.00,68.51,11.84,,,,,"false"
4402.00,"SINGLE PROTEIN","P15408",""," Fos-related antigen 2 (FOSL2_HUMAN)","2","FOSL2",0.00,"false",0.00,0.00,0.00,3066.00,35.17,11.83,,,,,"false"
4403.00,"SINGLE PROTEIN","Q6ZTY8","","Putative uncharacterized protein C12orf63 (CL063_HUMAN)","","C12ORF63",0.00,"false",0.00,0.00,0.00,3066.00,135.70,11.83,,,,,"false"
4404.00,"SINGLE PROTEIN","P49590",""," Probable histidine--tRNA ligase, mitochondrial (SYHM_HUMAN)","5","HARS2",0.00,"false",0.00,1.00,0.00,2267.00,56.85,11.83,,,,,"false"
4405.00,"SINGLE PROTEIN","Q5VZQ5",""," Testis-expressed sequence 36 protein (TEX36_HUMAN)","10","TEX36",0.00,"false",0.00,0.00,0.00,3066.00,21.53,11.83,,,,,"false"
4406.00,"SINGLE PROTEIN","O75185",""," Calcium-transporting ATPase type 2C member 2 (AT2C2_HUMAN)","16","ATP2C2",0.00,"false",0.00,0.00,0.00,3066.00,103.12,11.82,,,,,"false"
4407.00,"SINGLE PROTEIN","A5YKK6",""," CCR4-NOT transcription complex subunit 1 (CNOT1_HUMAN)","16","CNOT1",0.00,"false",0.00,0.00,0.00,3066.00,266.77,11.75,,,,,"false"
4408.00,"SINGLE PROTEIN","P53621",""," Coatomer subunit alpha (COPA_HUMAN)","1","COPA",0.00,"false",0.00,0.00,0.00,3066.00,138.26,11.75,,,,,"false"
4409.00,"SINGLE PROTEIN","O43151",""," Methylcytosine dioxygenase TET3 (TET3_HUMAN)","2","TET3",0.00,"false",0.00,0.00,0.00,3066.00,179.24,11.75,,,,,"false"
4410.00,"SINGLE PROTEIN","Q6ZN30",""," Zinc finger protein basonuclin-2 (BNC2_HUMAN)","9","BNC2",0.00,"false",0.00,0.00,0.00,3066.00,122.25,11.75,,,,,"false"
4411.00,"SINGLE PROTEIN","Q6ZTA4",""," Tripartite motif-containing protein 67 (TRI67_HUMAN)","1","TRIM67",0.00,"false",0.00,0.00,0.00,3066.00,83.77,11.75,,,,,"false"
4412.00,"SINGLE PROTEIN","Q8IWC1",""," MAP7 domain-containing protein 3 (MA7D3_HUMAN)","X","MAP7D3",0.00,"false",0.00,0.00,0.00,3066.00,98.37,11.75,,,,,"false"
4413.00,"SINGLE PROTEIN","Q9H2D6",""," TRIO and F-actin-binding protein (TARA_HUMAN)","22","TRIOBP",0.00,"false",0.00,1.00,0.00,3031.00,261.22,11.75,,,,,"false"
4414.00,"SINGLE PROTEIN","Q92831",""," Histone acetyltransferase KAT2B (KAT2B_HUMAN)","3","KAT2B",0.00,"false",0.00,0.00,0.00,3066.00,92.95,11.75,,,,,"false"
4415.00,"SINGLE PROTEIN","Q92623",""," Tetratricopeptide repeat protein 9A (TTC9A_HUMAN)","14","TTC9",0.00,"false",0.00,0.00,0.00,3066.00,24.36,11.75,,,,,"false"
4416.00,"SINGLE PROTEIN","Q96BM1",""," Ankyrin repeat domain-containing protein 9 (ANKR9_HUMAN)","14","ANKRD9",0.00,"false",0.00,0.00,0.00,3066.00,34.27,11.75,,,,,"false"
4417.00,"SINGLE PROTEIN","Q8TEB1",""," DDB1- and CUL4-associated factor 11 (DCA11_HUMAN)","14","DCAF11",0.00,"false",0.00,0.00,0.00,3066.00,61.63,11.75,,,,,"false"
4418.00,"SINGLE PROTEIN","Q14094",""," Cyclin-I (CCNI_HUMAN)","4","CCNI",0.00,"false",0.00,0.00,0.00,3066.00,42.53,11.75,,,,,"false"
4419.00,"SINGLE PROTEIN","Q6PCB6",""," Alpha/beta hydrolase domain-containing protein 17C (AB17C_HUMAN)","15","FAM108C1",0.00,"false",0.00,0.00,0.00,3066.00,35.81,11.75,,,,,"false"
4420.00,"SINGLE PROTEIN","Q13398",""," Zinc finger protein 211 (ZN211_HUMAN)","19","ZNF211",0.00,"false",0.00,0.00,0.00,3066.00,64.49,11.75,,,,,"false"
4421.00,"SINGLE PROTEIN","Q8N5S1",""," Solute carrier family 25 member 41 (S2541_HUMAN)","19","SLC25A41",0.00,"false",0.00,0.00,0.00,3066.00,40.77,11.75,,,,,"false"
4422.00,"SINGLE PROTEIN","Q9UNS1",""," Protein timeless homolog (TIM_HUMAN)","12","TIMELESS",0.00,"false",0.00,0.00,0.00,3066.00,138.57,11.74,,,,,"false"
4423.00,"SINGLE PROTEIN","Q8NEZ3",""," WD repeat-containing protein 19 (WDR19_HUMAN)","4","WDR19",0.00,"false",0.00,0.00,0.00,3066.00,151.48,11.74,,,,,"false"
4424.00,"SINGLE PROTEIN","Q9NWU2",""," Glucose-induced degradation protein 8 homolog (GID8_HUMAN)","20","GID8",0.00,"false",0.00,0.00,0.00,3066.00,26.73,11.66,,,,,"false"
4425.00,"SINGLE PROTEIN","Q9BRQ0",""," Pygopus homolog 2 (PYGO2_HUMAN)","1","PYGO2",0.00,"false",0.00,0.00,0.00,3066.00,41.22,11.66,,,,,"false"
4426.00,"SINGLE PROTEIN","Q9BSJ2",""," Gamma-tubulin complex component 2 (GCP2_HUMAN)","10","TUBGCP2",0.00,"false",0.00,0.00,0.00,3066.00,102.47,11.66,,,,,"false"
